

话题

#乌鲁木齐大暴雪#	504000.0
#黄汐源0320生日快乐#	638000.0
#吴世勋gaon人气奖两连冠#	931000.0
#金泰妍my_voice_is_fine#	1254000.0
#您已预定千玺的两千万粉丝福利#	1677000.0
#最in军训照#	2436000.0
#我的生活态度#	3805000.0
#华晨宇三专H现身#	5236000.0
#防弹少年团_not_today#	5282000.0
#废柴的日常#	11283000.0
#我的美食日记#	11928000.0
#一次次出轨的男友#	12509000.0
#你们输入ym是什么#	12633000.0
#长得嫩是种怎样的体验#	13972000.0
#Rihanna生日快乐#	16669000.0
#教师资格证面试成绩#	17144000.0
#wifi眉#	22237000.0
#朴灿烈0223letmeloveyou#	25514000.0
#孟瑞南北兄弟#	26276000.0
#南派三叔0220生日快乐#	27946000.0
#谁长得黑却颜值极高#	28449000.0
#加勒比海盗5#	41492000.0
#0304惠若琪生日快乐#	41691000.0
#安庆绪含泪杀珍珠#	46506000.0
#皮皮虾我们走#	54929000.0
#生活如诗#	65613000.0
#电视剧因为遇见你#	67389000.0
#郑爽后援会解散#	76805000.0
#光合作用#	83878000.0
#生化危机终章#	110000000.00000001
#天气即心情#	120000000.0
#欢乐好声音#	130000000.0
#唐七抄袭#	140000000.0
#微博问答#	180000000.0
#热血长安#	180000000.0
#金正男遇害#	190000000.0
#中国电视剧品质盛典#	210000000.0
#鹿晗敢冒险#	250000000.0
#歌手迪玛希#	270000000.0
#奔跑吧#	280000000.0
#大秦帝国之崛起#	330000000.0
#郑爽抽烟#	380000000.0
#迪丽热巴凤九#	390000000.0
#黎明决战#	480000000.0
#电影嫌疑人x的献身#	490000000.00000006
#2017NBA全明星周末#	710000000.0
#钟汉良一路繁花相送#	750000000.0
#为爱而动#	830000000.0000001
#北鼻放开那个易烊千玺让我来#	850000000.0
#钟汉良乐作人生巡回演唱会#	1010000000.0
#歌手张杰#	1060000000.0
#向往的生活#	1380000000.0
#大唐荣耀#	2270000000.0
#三生三世十里桃花#	2490000000.0
#秀个假恩爱#	2980000000.0
#热门搞笑小视频#	3000000000.0
#美妆手帐#	3420000000.0000005
#孤单又灿烂的神-鬼怪#	3560000000.0
#王牌对王牌#	4420000000.0
#让红包飞#	19820000000.0


社会

#影像郑州#	60000.0
#5岁女童19楼坠亡#	70000.0
#八岁女孩捐髓救母#	86000.0
#猛犸象可起死回生#	123000.0
#北极发烧#	165000.0
#老人找希望工程受助者#	237000.0
#26年不离不弃#	461000.0
#乌鲁木齐大暴雪#	505000.0
#剩女多城市房价高#	814000.0
#中国彩礼地图出炉#	847000.0
#我要当富二代#	873000.0
#呼和浩特清洁家园一起来#	937000.0
#穿山甲董事长#	989000.0
#咸宁城事#	2072000.0
#大学生加入相亲大军#	2999000.0
#滇桂穿山甲黑市交易#	3809000.0
#北京朝霞#	4588000.0
#信使说事#	5381000.0
#王毅外长代言云南#	8056000.0
#重庆新鲜事#	11298000.0
#h7n9病毒变异株#	11966000.0
#江西青年之声#	26746000.0
#武昌街头一男子被砍#	28471000.0
#母亲杀6岁儿藏床底#	30899000.0
#法治宣传教育进行时#	50687000.0
#《长城》北美挨骂#	51430000.0
#人民直播#	75646000.0
#金正男遇害#	190000000.0
#开学了#	440000000.00000006
#商丘身边事#	540000000.0


科技

#每日科技精选#	89000.0
#装外卖的送餐箱有多脏#	196000.0
#万达电商ceo离职#	265000.0
#snapchat上市#	309000.0
#微帮汇联盟#	613000.0
#渭南新鲜事#	803000.0
#VR资讯#	1221000.0
#年薪26万元#	1861000.0
#广州黄庭的访谈#	2497000.0
#电梯形图#	2535000.0
#网县合作会员招募令#	2916000.0
